FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2021-01-02 05:22:33,33.93911,67.709953,51526,2191,41727,0,Afghanistan,0.0,4.2522221790940495
,,,Albania,2021-01-02 05:22:33,41.1533,20.1683,58316,1181,33634,23501,Albania,2026.4090624782818,2.025173194320598
,,,Algeria,2021-01-02 05:22:33,28.0339,1.6596,99897,2762,67395,29740,Algeria,227.80986075975437,2.7648477932270237
,,,Andorra,2021-01-02 05:22:33,42.5063,1.5218,8117,84,7463,570,Andorra,10505.403481524623,1.0348650979425895
,,,Angola,2021-01-02 05:22:33,-11.2027,17.8739,17568,405,11146,6017,Angola,53.45298103210258,2.305327868852459
,,,Antigua and Barbuda,2021-01-02 05:22:33,17.0608,-61.7964,159,5,148,6,Antigua and Barbuda,162.36418593252185,3.1446540880503147
,,,Argentina,2021-01-02 05:22:33,-38.4161,-63.6167,1629594,43319,1426676,159599,Argentina,3605.6333316274213,2.658269483073698
,,,Armenia,2021-01-02 05:22:33,40.0691,45.0382,159738,2828,143355,13555,Armenia,5390.664388975018,1.7703990284090199
,,Australian Capital Territory,Australia,2021-01-02 05:22:33,-35.4735,149.0124,118,3,114,1,"Australian Capital Territory, Australia",27.563653352020555,2.542372881355932
,,New South Wales,Australia,2021-01-02 05:22:33,-33.8688,151.2093,4947,54,0,1696,"New South Wales, Australia",60.93865484109386,1.0915706488781078
